Locus	wtA	wtB	wtC								
AT3G51480	12	30	22								
AT3G51490	0	2	0								
AT3G51500	1629	2575	1965								
AT3G51510	1358	4191	2101								
AT3G51520	1051	2130	1470								
AT3G51530	45	98	56								
AT3G51540	0	13	4								
AT3G51550	4201	4274	3364								
AT3G51560	0	0	5								
AT3G51570	0	0	0								
AT3G51580	328	471	269								
AT3G51590	1	0	0								
AT3G51600	9184	12427	8075								
AT3G51610	896	1766	1085								
AT3G51620	401	981	647								
AT3G51630	0	0	2								
AT3G51632	0	0	0								
AT3G51636	0	0	0								
AT3G51640	39	126	94								
AT3G51642	0	0	0								
AT3G51644	0	0	0								
AT3G51650	77	174	139								
AT3G51660	110	124	86								
AT3G51670	958	1179	815								
AT3G51680	2	8	1								
AT3G51690	0	0	0								
AT3G51700	0	0	0								
AT3G51710	0	5	3								
AT3G51720	395	587	468								
AT3G51730	11937	21088	10527								
AT3G51740	223	341	279								
AT3G51750	12	13	16								
AT3G51760	2	7	9								
AT3G51770	809	718	763								
AT3G51780	218	634	398								
AT3G51790	244	487	364								
AT3G51800	447	1576	1138								
AT3G51810	999	1997	1360								
AT3G51820	1396	3437	2073								
AT3G51830	550	1502	540								
AT3G51840	2937	7752	4464								
AT3G51850	930	1827	1469								
AT3G51860	517	496	364								
AT3G51870	157	332	303								
AT3G51880	2777	6190	4222								
AT3G51890	108	263	177								
AT3G51895	299	633	436								
AT3G51910	46	98	206								
AT3G51915	0	0	0								
AT3G51920	866	1599	716								
AT3G51930	52	29	40								
AT3G51940	58	107	65								
AT3G51950	940	2115	1526								
AT3G51960	35	53	46								
AT3G51970	202	335	213								
AT3G51980	170	487	196								
AT3G51990	184	282	187								
AT3G52000	0	0	0								
AT3G52003	0	0	0								
AT3G52010	0	0	0								
AT3G52020	0	0	0								
AT3G52030	27	218	62								
AT3G52040	578	1699	609								
AT3G52050	36	92	72								
AT3G52055	0	0	0								
AT3G52060	3471	4500	4327								
AT3G52070	77	239	163								
AT3G52072	38	118	73								
AT3G52080	0	0	0								
AT3G52090	1558	4717	2114								
AT3G52100	9	4	33								
AT3G52105	0	0	0								
AT3G52110	46	82	76								
AT3G52115	49	130	78								
AT3G52120	902	2547	1227								
AT3G52130	0	0	2								
AT3G52140	1014	1741	1267								
AT3G52150	3020	9639	5491								
AT3G52155	44	177	102								
AT3G52160	3	0	6								
AT3G52170	212	635	391								
AT3G52180	72	256	85								
AT3G52190	392	718	467								
AT3G52200	1407	2962	1888								
AT3G52210	102	286	151								
AT3G52220	649	1367	1345								
AT3G52230	3050	5305	3325								
AT3G52240	593	1586	969								
AT3G52250	0	6	0								
AT3G52260	89	308	94								
AT3G52270	0	0	1								
AT3G52280	131	497	196								
AT3G52285	0	0	0								
AT3G52290	274	535	498								
AT3G52300	3013	10851	4855								
AT3G52302	0	0	0								
AT3G52310	0	0	0								
AT3G52320	0	0	0								
AT3G52330	0	0	0								
AT3G52340	304	749	361								
AT3G52345	0	0	0								
AT3G52350	0	0	0								
AT3G52360	3213	2453	2565								
AT3G52370	644	725	543								
AT3G52380	2992	6778	4863								
AT3G52390	37	135	77								
AT3G52400	1408	818	837								
AT3G52410	0	0	0								
AT3G52420	0	0	0								
AT3G52430	70	126	102								
AT3G52440	0	0	0								
AT3G52450	522	754	647								
AT3G52460	58	158	73								
AT3G52470	3615	5054	3951								
AT3G52480	1187	1459	1319								
AT3G52490	14	22	12								
AT3G52500	476	849	994								
AT3G52510	3	5	4								
AT3G52520	0	0	0								
AT3G52525	40	98	92								
AT3G52527	0	0	0								
AT3G52530	0	1	0								
AT3G52535	0	0	0								
AT3G52540	56	95	48								
AT3G52550	1	4	1								
AT3G52560	1744	3420	2100								
AT3G52561	235	145	169								
AT3G52565	0	0	0								
AT3G52570	35	136	56								
AT3G52580	2395	6763	3933								
AT3G52590	11394	15286	11769								
AT3G52600	0	1	4								
AT3G52605	13	11	9								
AT3G52610	135	253	175								
AT3G52620	0	0	0								
AT3G52630	11	21	13								
AT3G52640	49	156	111								
AT3G52660	744	994	791								
AT3G52670	7	13	3								
AT3G52680	15	61	32								
AT3G52690	0	0	0								
AT3G52700	0	0	0								
AT3G52705	0	0	0								
AT3G52710	1050	957	855								
AT3G52720	294	553	452								
AT3G52730	4377	9079	5515								
AT3G52740	2	6	6								
AT3G52742	0	0	0								
AT3G52748	0	0	0								
AT3G52750	133	412	255								
AT3G52760	439	1286	706								
AT3G52765	0	0	0								
AT3G52770	0	0	0								
AT3G52780	64	121	94								
AT3G52790	0	0	0								
AT3G52800	2846	2226	1928								
AT3G52810	0	0	0								
AT3G52820	22	17	18								
AT3G52830	0	0	0								
AT3G52840	229	424	312								
AT3G52850	1228	3095	2539								
AT3G52860	29	93	27								
AT3G52870	432	835	647								
AT3G52880	2138	5621	3663								
AT3G52890	247	552	458								
AT3G52900	157	291	193								
AT3G52905	109	440	213								
AT3G52910	316	465	352								
AT3G52920	8784	4638	4861								
AT3G52930	9107	8143	9141								
AT3G52940	219	202	175								
AT3G52941	0	0	0								
AT3G52950	127	274	255								
AT3G52955	0	0	0								
AT3G52957	0	0	0								
AT3G52960	16198	23519	21644								
AT3G52970	0	2	0								
AT3G52980	0	0	0								
AT3G52990	422	732	579								
AT3G53000	983	1224	841								
AT3G53010	61	89	57								
AT3G53015	0	0	0								
AT3G53016	0	0	0								
AT3G53020	15726	26573	15523								
AT3G53030	175	676	308								
AT3G53040	1669	3176	2236								
AT3G53050	0	0	0								
AT3G53060	0	0	0								
AT3G53065	0	0	0								
AT3G53070	0	0	0								
AT3G53075	0	0	0								
AT3G53080	0	0	0								
AT3G53090	26	57	45								
AT3G53100	272	711	553								
AT3G53110	5623	5117	6082								
AT3G53120	163	409	218								
AT3G53130	0	0	0								
AT3G53140	0	0	0								
AT3G53150	23	45	43								
AT3G53160	2	6	6								
AT3G53170	0	0	0								
AT3G53180	279	693	407								
AT3G53190	16	96	54								
AT3G53200	448	552	343								
AT3G53210	78	81	85								
AT3G53220	24	109	36								
AT3G53230	820	2440	1947								
AT3G53232	0	0	0								
AT3G53235	0	0	0								
AT3G53240	36	157	91								
AT3G53250	0	0	0								
AT3G53260	1836	2634	2174								
AT3G53270	132	278	144								
AT3G53280	505	940	457								
AT3G53290	0	0	0								
AT3G53294	0	0	0								
AT3G53300	0	0	0								
AT3G53305	0	0	0								
AT3G53310	8	14	18								
AT3G53320	36	68	49								
AT3G53330	0	0	0								
AT3G53340	1162	1873	1347								
AT3G53342	0	0	0								
AT3G53350	44	53	31								
AT3G53360	0	0	0								
AT3G53365	0	0	0								
AT3G53370	1	0	1								
AT3G53380	415	755	409								
AT3G53390	87	158	221								
AT3G53400	0	0	0								
AT3G53402	0	0	0								
AT3G53403	0	0	0								
AT3G53410	247	490	275								
AT3G53420	14485	20162	13999								
AT3G53430	13818	18564	12848								
AT3G53440	35	76	77								
AT3G53450	0	0	0								
AT3G53460	90287	100897	73380								
AT3G53470	289	938	451								
AT3G53480	594	529	284								
AT3G53490	0	18	14								
AT3G53500	1149	3621	1509								
AT3G53510	12	8	9								
AT3G53520	1235	1796	1363								
AT3G53530	117	285	147								
AT3G53540	74	226	153								
AT3G53550	0	0	0								
AT3G53560	1083	2149	1966								
AT3G53570	292	464	268								
AT3G53580	2875	3888	2437								
AT3G53590	0	2	0								
AT3G53600	0	5	1								
AT3G53610	1961	4197	2370								
AT3G53611	0	0	0								
AT3G53620	265	366	313								
AT3G53630	926	1533	1197								
AT3G53640	0	0	0								
AT3G53650	0	0	0								
AT3G53668	0	0	0								
AT3G53670	31	9	17								
AT3G53680	0	1	0								
AT3G53690	3	9	5								
AT3G53700	235	430	357								
AT3G53710	6285	7451	4684								
AT3G53720	15	89	49								
AT3G53730	5154	10330	8025								
AT3G53740	42967	93813	45996								
AT3G53750	1840	2386	2251								
AT3G53760	402	983	541								
AT3G53770	1	0	0								
AT3G53775	0	0	0								
AT3G53780	357	386	176								
AT3G53790	0	0	0								
AT3G53800	256	989	447								
AT3G53810	308	278	238								
AT3G53820	0	0	0								
AT3G53830	9	24	19								
AT3G53840	5	11	21								
AT3G53850	236	915	422								
AT3G53860	34	120	89								
AT3G53870	7062	16685	8128								
AT3G53880	392	1160	915								
AT3G53890	2034	3547	2813								
AT3G53900	358	1048	705								
AT3G53910	0	0	0								
AT3G53920	84	162	120								
AT3G53930	142	256	215								
AT3G53940	38	82	57								
AT3G53950	57	115	105								
AT3G53960	5	18	10								
AT3G53965	0	0	0								
AT3G53970	567	404	455								
AT3G53980	606	1874	1376								
AT3G53990	4308	9445	7972								
AT3G54000	140	231	346								
AT3G54010	717	2606	1272								
AT3G54020	314	641	375								
AT3G54030	369	300	290								
AT3G54040	204	324	299								
AT3G54050	902	2744	1959								
AT3G54060	8	9	2								
AT3G54070	0	0	0								
AT3G54080	402	458	380								
AT3G54085	287	692	451								
AT3G54090	955	2269	1498								
AT3G54100	358	678	354								
AT3G54110	3813	6652	5636								
AT3G54120	247	424	311								
AT3G54130	1643	1701	1587								
AT3G54140	3001	2915	2354								
AT3G54150	20	74	25								
AT3G54160	0	0	0								
AT3G54170	204	398	658								
AT3G54180	136	386	253								
AT3G54190	188	675	361								
AT3G54200	4697	4888	3465								
AT3G54210	4147	13002	6492								
AT3G54220	451	758	441								
AT3G54230	895	1898	892								
AT3G54240	0	0	0								
AT3G54250	23	41	34								
AT3G54260	539	1405	792								
AT3G54270	64	53	39								
AT3G54280	336	756	536								
AT3G54290	1496	2128	1453								
AT3G54300	810	1802	921								
AT3G54310	0	0	0								
AT3G54320	64	65	48								
AT3G54340	0	1	2								
AT3G54350	432	1286	585								
AT3G54360	1333	3635	2202								
AT3G54363	0	0	0								
AT3G54366	1102	1364	1790								
AT3G54380	369	1174	671								
AT3G54390	16	38	38								
AT3G54400	9380	8555	9712								
AT3G54410	5	2	1								
AT3G54420	3	19	13								
AT3G54430	342	315	221								
AT3G54440	129	390	282								
AT3G54450	2	5	9								
AT3G54460	19	24	20								
AT3G54470	1217	2241	1686								
AT3G54480	351	859	428								
AT3G54490	2	2	4								
AT3G54500	334	1059	325								
AT3G54510	145	278	262								
AT3G54520	4	7	3								
AT3G54530	3	9	2								
AT3G54540	466	675	681								
AT3G54550	0	0	0								
AT3G54560	1784	4824	2499								
AT3G54570	0	0	0								
AT3G54580	1166	1367	1481								
AT3G54590	33	149	78								
AT3G54600	49	136	71								
AT3G54610	188	244	153								
AT3G54620	6637	10188	5807								
AT3G54625	0	0	2								
AT3G54630	8	91	53								
AT3G54640	1212	2969	1662								
AT3G54650	1015	2320	1071								
AT3G54660	5145	6995	5455								
AT3G54670	648	1732	1482								
AT3G54680	317	717	381								
AT3G54690	1080	2170	1385								
AT3G54700	0	0	0								
AT3G54710	8	73	25								
AT3G54720	71	195	169								
AT3G54730	6	9	13								
AT3G54740	243	358	258								
AT3G54750	208	855	488								
AT3G54760	1180	1518	1115								
AT3G54770	258	273	234								
AT3G54780	10	73	63								
AT3G54790	81	202	183								
AT3G54800	0	4	1								
AT3G54802	0	0	0								
AT3G54804	0	0	0								
AT3G54810	1922	2004	1505								
AT3G54820	147	356	219								
AT3G54823	0	0	0								
AT3G54826	440	854	578								
AT3G54830	9	291	117								
AT3G54840	376	818	511								
AT3G54850	64	165	109								
AT3G54860	169	344	198								
AT3G54870	1	17	14								
AT3G54880	1742	4123	1757								
AT3G54890	6558	18499	16088								
AT3G54900	1722	4286	3047								
AT3G54910	4	25	24								
AT3G54920	3300	6684	4358								
AT3G54925	0	0	0								
AT3G54930	59	84	64								
AT3G54940	1917	2240	2480								
AT3G54950	95	188	177								
AT3G54960	1673	2870	1966								
AT3G54970	42	96	63								
AT3G54980	86	180	150								
AT3G54990	28	184	65								
AT3G55000	1088	1496	874								
AT3G55005	922	1182	927								
AT3G55010	301	326	308								
AT3G55020	1281	2379	1461								
AT3G55030	501	1254	915								
AT3G55040	326	548	408								
AT3G55050	339	674	395								
AT3G55060	61	88	94								
AT3G55070	280	672	345								
AT3G55080	59	237	100								
AT3G55090	0	0	0								
AT3G55100	0	0	0								
AT3G55110	5	3	6								
AT3G55120	228	299	298								
AT3G55130	45	84	35								
AT3G55140	832	1258	824								
AT3G55150	158	265	202								
AT3G55160	0	2	4								
AT3G55170	3352	6528	4406								
AT3G55180	0	0	4								
AT3G55190	0	0	0								
AT3G55200	0	0	0								
AT3G55210	0	0	0								
AT3G55220	0	0	0								
AT3G55230	7757	7633	5807								
AT3G55240	17	53	12								
AT3G55250	578	951	545								
AT3G55252	0	0	0								
AT3G55254	0	0	0								
AT3G55258	0	0	0								
AT3G55260	1482	3848	1674								
AT3G55270	446	802	415								
AT3G55280	4066	10889	6309								
AT3G55290	65	87	63								
AT3G55300	0	0	0								
AT3G55310	61	87	56								
AT3G55320	284	464	347								
AT3G55330	2389	4521	1879								
AT3G55340	19	110	95								
AT3G55350	537	786	439								
AT3G55360	6956	8108	5832								
AT3G55370	245	478	419								
AT3G55380	2926	3586	2496								
AT3G55390	88	105	84								
AT3G55400	259	598	344								
AT3G55410	1039	1484	1114								
AT3G55420	2978	2407	2915								
AT3G55430	4155	4052	3681								
AT3G55440	9998	23761	15437								
AT3G55450	406	918	473								
AT3G55460	3097	6430	3449								
AT3G55470	1233	1744	1239								
AT3G55480	135	249	154								
AT3G55485	17	16	15								
AT3G55490	64	212	105								
AT3G55500	13	37	24								
AT3G55510	67	125	94								
AT3G55512	0	0	0								
AT3G55515	0	0	0								
AT3G55520	278	1191	452								
AT3G55530	378	1205	618								
AT3G55540	0	0	0								
AT3G55550	0	4	4								
AT3G55560	2172	2809	4190								
AT3G55566	0	0	0								
AT3G55570	0	0	0								
AT3G55573	0	0	0								
AT3G55580	1	12	4								
AT3G55590	0	0	0								
AT3G55600	350	578	298								
AT3G55605	241	502	297								
AT3G55610	1058	2665	1347								
AT3G55620	4589	4955	4666								
AT3G55630	75	257	122								
AT3G55640	174	431	244								
AT3G55646	10	16	25								
AT3G55650	0	0	0								
AT3G55660	112	386	180								
AT3G55665	0	0	0								
AT3G55670	0	0	0								
AT3G55672	0	0	0								
AT3G55677	2	4	2								
AT3G55680	0	0	0								
AT3G55690	66	107	104								
AT3G55700	0	16	9								
AT3G55710	10	12	19								
AT3G55720	47	53	33								
AT3G55730	489	943	925								
AT3G55734	0	0	0								
AT3G55735	0	0	0								
AT3G55740	255	524	366								
AT3G55750	7054	11500	7272								
AT3G55760	6	19	14								
AT3G55770	5297	10306	5143								
AT3G55780	0	0	0								
AT3G55790	0	0	0								
AT3G55795	0	0	0								
AT3G55800	839	2032	1134								
AT3G55810	0	0	0								
AT3G55820	26	29	29								
AT3G55830	437	953	597								
AT3G55840	411	289	185								
AT3G55850	29	115	67								
AT3G55860	0	0	0								
AT3G55870	0	0	0								
AT3G55880	192	441	222								
AT3G55890	132	115	73								
AT3G55900	0	0	0								
AT3G55910	0	0	0								
AT3G55920	171	320	194								
AT3G55930	1	0	0								
AT3G55940	0	0	2								
AT3G55950	286	380	311								
AT3G55960	4028	4651	2843								
AT3G55970	5	13	5								
AT3G55980	1250	1650	1141								
AT3G55990	282	211	229								
AT3G56000	119	290	145								
AT3G56010	1666	3232	1660								
AT3G56020	0	0	0								
AT3G56030	47	105	115								
AT3G56040	191	634	319								
AT3G56050	1220	2784	1748								
AT3G56060	223	467	394								
AT3G56070	1926	2522	1911								
AT3G56080	38	44	49								
AT3G56085	0	0	0								
AT3G56090	1254	2777	1413								
AT3G56100	23	30	17								
AT3G56110	2238	3977	2858								
AT3G56120	140	285	181								
AT3G56130	1569	2959	2179								
AT3G56140	296	693	372								
AT3G56150	5164	5539	5096								
AT3G56160	129	416	294								
AT3G56170	4627	4498	2486								
AT3G56180	0	0	0								
AT3G56190	4105	5212	3551								
AT3G56200	333	538	284								
AT3G56210	925	1172	534								
AT3G56220	31	66	35								
AT3G56230	23	92	32								
AT3G56240	796	1137	767								
AT3G56250	0	1	0								
AT3G56260	12	25	4								
AT3G56270	16	27	57								
AT3G56275	15	32	22								
AT3G56277	0	0	0								
AT3G56280	0	0	0								
AT3G56290	50	123	61								
AT3G56300	4	27	11								
AT3G56310	2521	6746	3512								
AT3G56320	105	97	78								
AT3G56330	79	75	58								
AT3G56340	5203	10872	6348								
AT3G56350	906	1309	1086								
AT3G56360	3635	5014	3020								
AT3G56370	3140	3648	3449								
AT3G56380	0	0	0								
AT3G56390	0	0	0								
AT3G56400	151	179	100								
AT3G56408	49	96	64								
AT3G56410	64	91	79								
AT3G56420	0	0	0								
AT3G56430	18	81	53								
AT3G56440	99	100	94								
AT3G56450	25	159	60								
AT3G56460	777	3120	1456								
AT3G56470	15	36	24								
AT3G56480	1228	1372	1286								
AT3G56490	1565	3822	2370								
AT3G56500	0	0	0								
AT3G56510	80	286	154								
AT3G56520	0	0	0								
AT3G56530	0	0	0								
AT3G56540	0	0	0								
AT3G56550	0	1	0								
AT3G56560	0	0	0								
AT3G56570	0	2	0								
AT3G56580	2765	4105	2759								
AT3G56590	778	1137	1379								
AT3G56600	0	1	0								
AT3G56610	0	0	0								
AT3G56620	4	15	9								
AT3G56630	58	209	121								
AT3G56640	1	2	1								
AT3G56650	683	1766	1217								
AT3G56660	0	0	0								
AT3G56670	0	0	0								
AT3G56680	3943	8128	4644								
AT3G56690	265	574	339								
AT3G56700	0	0	0								
AT3G56705	163	121	66								
AT3G56710	13	13	39								
AT3G56720	423	1053	518								
AT3G56730	50	61	36								
AT3G56740	87	322	180								
AT3G56750	2513	2577	2126								
AT3G56760	614	955	657								
AT3G56770	0	0	1								
AT3G56780	0	0	0								
AT3G56790	5	36	4								
AT3G56800	19926	18377	13294								
AT3G56810	37	57	46								
AT3G56820	408	910	632								
AT3G56825	9	5	3								
AT3G56830	110	335	150								
AT3G56840	59	187	92								
AT3G56850	897	1504	938								
AT3G56860	1139	1603	1052								
AT3G56870	91	175	110								
AT3G56880	1653	2839	2114								
AT3G56890	0	0	0								
AT3G56891	7	10	4								
AT3G56900	202	431	253								
AT3G56910	10751	15512	9380								
AT3G56920	0	0	0								
AT3G56930	1672	850	896								
AT3G56940	18834	23598	23369								
AT3G56950	3948	3739	3068								
AT3G56960	0	0	0								
AT3G56970	7	10	8								
AT3G56980	22	42	15								
AT3G56990	57	110	96								
AT3G57000	378	897	328								
AT3G57010	1063	1151	973								
AT3G57020	153	169	152								
AT3G57030	140	298	176								
AT3G57040	291	1044	524								
AT3G57050	306	492	284								
AT3G57060	34	94	80								
AT3G57062	367	949	439								
AT3G57070	373	951	468								
AT3G57072	0	0	0								
AT3G57080	833	1029	1254								
AT3G57090	356	705	324								
AT3G57100	0	2	0								
AT3G57110	0	0	0								
AT3G57120	313	290	212								
AT3G57130	0	5	1								
AT3G57140	75	110	122								
AT3G57150	1542	2877	2239								
AT3G57157	0	0	0								
AT3G57160	93	226	156								
AT3G57170	29	105	56								
AT3G57180	62	209	114								
AT3G57190	18	93	63								
AT3G57200	3	10	6								
AT3G57210	1	0	1								
AT3G57220	158	505	239								
AT3G57230	140	614	176								
AT3G57240	0	0	0								
AT3G57250	0	0	0								
AT3G57260	0	0	0								
AT3G57270	0	1	0								
AT3G57280	2835	3603	3259								
AT3G57290	3192	6531	4075								
AT3G57300	398	1707	735								
AT3G57310	0	0	0								
AT3G57320	599	1491	825								
AT3G57330	1421	1519	1463								
AT3G57340	4882	4896	4239								
AT3G57350	224	399	229								
AT3G57360	26	51	21								
AT3G57370	0	0	0								
AT3G57380	103	142	76								
AT3G57390	320	375	258								
AT3G57400	348	283	339								
AT3G57410	2954	5776	3673								
AT3G57420	320	552	348								
AT3G57430	41	73	65								
AT3G57440	1	3	0								
AT3G57450	6400	7400	5916								
AT3G57460	0	0	0								
AT3G57470	29	138	42								
AT3G57480	349	432	335								
AT3G57490	587	1202	772								
AT3G57500	4	7	6								
AT3G57510	30	23	35								
AT3G57520	783	1830	1017								
AT3G57530	689	1827	899								
AT3G57540	44	32	14								
AT3G57550	3606	6420	3557								
AT3G57560	554	1168	827								
AT3G57570	89	346	165								
AT3G57580	78	168	106								
AT3G57586	0	0	0								
AT3G57590	1	3	3								
AT3G57600	10	31	19								
AT3G57610	1597	3050	2014								
AT3G57620	0	0	0								
AT3G57630	187	210	91								
AT3G57640	0	1	5								
AT3G57645	160	266	111								
AT3G57650	2799	1923	1737								
AT3G57660	0	0	0								
AT3G57670	20	68	52								
AT3G57680	0	1	0								
AT3G57690	0	0	0								
AT3G57700	0	0	5								
AT3G57710	4	2	2								
AT3G57720	49	147	91								
AT3G57730	79	93	98								
AT3G57740	1	2	0								
AT3G57750	485	365	354								
AT3G57760	11	58	23								
AT3G57765	7	10	3								
AT3G57770	403	675	275								
AT3G57780	0	20	16								
AT3G57785	1570	3132	1438								
AT3G57790	321	882	423								
AT3G57800	4185	7789	4997								
AT3G57810	777	1059	632								
AT3G57820	0	0	0								
AT3G57830	79	237	166								
AT3G57840	0	0	0								
AT3G57850	0	0	0								
AT3G57854	0	0	0								
AT3G57860	66	173	96								
AT3G57870	7875	12887	7191								
AT3G57880	350	925	722								
AT3G57890	2927	4876	3449								
AT3G57900	0	0	0								
AT3G57910	189	432	240								
AT3G57920	21	32	16								
AT3G57930	539	839	794								
AT3G57940	93	169	164								
AT3G57950	0	0	1								
AT3G57958	0	0	0								
AT3G57960	0	0	0								
AT3G57965	176	426	316								
AT3G57970	0	0	0								
AT3G57980	0	3	2								
AT3G57990	1321	1918	1215								
AT3G58000	0	0	0								
AT3G58010	357	1182	509								
AT3G58020	190	418	269								
AT3G58030	1443	1192	1154								
AT3G58035	0	0	0								
AT3G58040	721	1166	824								
AT3G58050	428	544	573								
AT3G58060	0	13	2								
AT3G58070	5	10	7								
AT3G58080	0	0	0								
AT3G58090	98	169	101								
AT3G58100	231	297	185								
AT3G58110	450	973	639								
AT3G58120	5015	3537	2914								
AT3G58130	557	1335	521								
AT3G58140	136	575	414								
AT3G58150	17	36	16								
AT3G58160	0	1	0								
AT3G58165	0	0	0								
AT3G58170	452	765	565								
AT3G58180	133	208	121								
AT3G58190	58	36	24								
AT3G58193	0	0	0								
AT3G58196	0	0	0								
AT3G58200	7	31	17								
AT3G58210	0	0	0								
AT3G58220	133	715	357								
AT3G58230	0	0	0								
AT3G58240	0	0	0								
AT3G58250	0	0	0								
AT3G58260	0	0	0								
AT3G58270	98	192	176								
AT3G58280	0	0	0								
AT3G58290	0	0	0								
AT3G58300	0	0	0								
AT3G58310	0	0	0								
AT3G58320	0	0	0								
AT3G58330	0	0	0								
AT3G58340	0	0	0								
AT3G58347	0	0	0								
AT3G58350	29	48	34								
AT3G58360	0	0	0								
AT3G58370	0	3	0								
AT3G58380	3	9	4								
AT3G58390	0	0	0								
AT3G58400	0	0	0								
AT3G58410	0	0	0								
AT3G58420	0	0	0								
AT3G58430	0	5	5								
AT3G58440	0	0	0								
AT3G58450	152	346	275								
AT3G58460	482	586	501								
AT3G58470	494	1417	758								
AT3G58480	0	0	0								
AT3G58490	769	2237	1015								
AT3G58500	22449	26261	17025								
AT3G58510	349	711	394								
AT3G58520	47	184	98								
AT3G58530	117	239	146								
AT3G58540	0	0	0								
AT3G58550	32	39	45								
AT3G58560	388	1001	627								
AT3G58570	554	881	1031								
AT3G58580	255	450	344								
AT3G58590	20	33	32								
AT3G58600	1224	2210	1358								
AT3G58610	4906	7199	7605								
AT3G58620	387	481	313								
AT3G58630	19	56	39								
AT3G58640	939	1315	1448								
AT3G58650	57	145	126								
AT3G58660	596	916	841								
AT3G58670	73	139	140								
AT3G58676	0	0	0								
AT3G58680	6190	10881	7248								
AT3G58690	4	18	24								
AT3G58700	1728	2059	1757								
AT3G58710	62	116	105								
AT3G58720	82	96	71								
AT3G58730	12624	17675	19858								
AT3G58740	0	0	0								
AT3G58750	497	783	457								
AT3G58760	269	620	310								
AT3G58770	12	52	24								
AT3G58780	14	19	6								
AT3G58790	247	167	179								
AT3G58795	0	5	2								
AT3G58800	494	1120	647								
AT3G58810	17	35	11								
AT3G58820	1	4	1								
AT3G58830	541	589	360								
AT3G58840	411	629	629								
AT3G58850	1970	1713	2200								
AT3G58860	0	0	0								
AT3G58865	31	58	70								
AT3G58877	0	0	0								
AT3G58880	0	0	0								
AT3G58890	0	0	0								
AT3G58900	258	440	222								
AT3G58910	0	0	1								
AT3G58920	0	0	0								
AT3G58930	14	57	53								
AT3G58940	39	164	90								
AT3G58950	0	0	0								
AT3G58960	0	0	0								
AT3G58970	251	412	317								
AT3G58975	72	150	52								
AT3G58980	0	0	0								
AT3G58990	6	21	13								
AT3G59000	81	190	114								
AT3G59010	226	284	168								
AT3G59020	666	759	679								
AT3G59030	0	0	0								
AT3G59040	493	1277	807								
AT3G59050	0	0	0								
AT3G59052	0	0	0								
AT3G59060	180	328	212								
AT3G59068	0	0	0								
AT3G59070	0	0	0								
AT3G59080	522	865	441								
AT3G59090	1106	1997	899								
AT3G59100	0	0	0								
AT3G59110	717	1012	488								
AT3G59120	0	6	1								
AT3G59130	19	36	23								
AT3G59140	68	259	139								
AT3G59150	236	417	233								
AT3G59160	0	0	0								
AT3G59170	0	0	0								
AT3G59180	0	0	0								
AT3G59190	9	14	12								
AT3G59200	51	90	40								
AT3G59210	660	844	434								
AT3G59220	192	432	251								
AT3G59230	0	0	0								
AT3G59240	0	0	0								
AT3G59250	8	13	11								
AT3G59260	0	0	0								
AT3G59270	0	2	0								
AT3G59280	1313	2873	1782								
AT3G59290	133	247	137								
AT3G59300	0	5	3								
AT3G59310	108	242	205								
AT3G59320	192	522	249								
AT3G59330	1	3	3								
AT3G59340	166	328	212								
AT3G59350	4954	4565	4084								
AT3G59360	606	950	752								
AT3G59370	4605	3966	2428								
AT3G59380	172	509	261								
AT3G59390	61	250	104								
AT3G59400	1566	1314	1883								
AT3G59410	24	65	30								
AT3G59415	0	0	0								
AT3G59420	141	162	121								
AT3G59430	40	110	52								
AT3G59440	55	109	51								
AT3G59450	0	0	0								
AT3G59455	0	0	0								
AT3G59460	0	0	0								
AT3G59470	106	145	97								
AT3G59480	362	870	536								
AT3G59490	113	490	214								
AT3G59500	871	1985	1064								
AT3G59510	0	1	0								
AT3G59520	199	373	177								
AT3G59530	107	236	86								
AT3G59540	17009	13408	10458								
AT3G59550	83	111	97								
AT3G59570	215	454	225								
AT3G59580	49	202	128								
AT3G59590	0	0	0								
AT3G59600	202	706	394								
AT3G59610	0	0	0								
AT3G59620	1	5	1								
AT3G59630	69	116	78								
AT3G59640	104	307	320								
AT3G59650	645	1491	945								
AT3G59660	491	1032	658								
AT3G59670	798	1008	840								
AT3G59680	110	151	108								
AT3G59690	1233	1543	1186								
AT3G59695	0	0	0								
AT3G59700	28	32	20								
AT3G59710	63	178	63								
AT3G59720	0	0	0								
AT3G59730	2	2	1								
AT3G59740	0	2	0								
AT3G59750	1	8	1								
AT3G59760	322	665	426								
AT3G59765	70	160	169								
AT3G59770	220	599	385								
AT3G59780	625	1420	802								
AT3G59790	0	0	0								
AT3G59800	224	617	251								
AT3G59810	705	1413	712								
AT3G59820	124	370	252								
AT3G59830	5	7	0								
AT3G59840	1631	4450	2804								
AT3G59845	0	0	0								
AT3G59850	60	184	69								
AT3G59860	0	0	0								
AT3G59870	307	404	186								
AT3G59880	17	53	30								
AT3G59884	0	0	0								
AT3G59890	328	433	430								
AT3G59900	569	1743	814								
AT3G59910	1023	642	834								
AT3G59920	5810	10089	7552								
AT3G59923	0	0	0								
AT3G59926	0	0	0								
AT3G59930	7384	11530	7237								
AT3G59940	3378	5532	4534								
AT3G59950	348	987	435								
AT3G59960	0	0	0								
AT3G59970	3609	4792	3268								
AT3G59980	1054	1220	931								
AT3G59990	1234	3258	1535								
AT3G60000	0	1	0								
AT3G60010	0	0	0								
AT3G60020	0	0	0								
AT3G60030	2199	3925	2021								
